Zone Name,Ward No.,School UDISE ID,School Name & ID,School Inspector's Name,Last Data Date,Total Enrolment (Last),Max Enrolment,Max Enrolment Date,Max Present,Max Present Date,With Account,Without Account,With Aadhaar,Without Aadhaar,Aadhaar Linked Account,New Admission (This month),New Admission (This session),DBT Received (Student),DBT Received (Parent),Received By (Student + Parent)
Narela,2,07010400208,SWATANTRA NAGAR GALI NO. 24 (BOYS)-1355103,MAHIPAL,,445,475,2025-02-09,375,,355,90,427,18,355,2,201,0,0,0
Narela,2,07010400209,SWATANTRA NAGAR NARELA (GIRLS)-1355102,MAHIPAL,,575,581,2025-03-09,575,,509,66,556,19,509,5,170,0,0,0
Narela,3,07010400301,HOLAMBI KALAN PHASE 2 BLOCK A1 (BOYS)-1355418,MAHIPAL,,83,83,2025-01-09,81,,70,13,77,6,70,0,18,0,0,0
Narela,3,07010400302,HOLAMBI KALAN PHASE 2 BLOCK C SITE 3 (CO-ED)-1355331,MAHIPAL,,608,608,,552,,566,42,586,22,566,9,166,0,0,0
Narela,3,07010400303,HOLAMBI KALAN PHASE 2 BLOCK C SITE 4 (CO-ED)-1355329,MAHIPAL,,533,536,2025-10-09,502,,435,98,511,22,435,8,146,0,0,0
Narela,3,07010400304,HOLAMBI KALAN PHASE 2 BLOCK B (CO-ED)-1355122,MAHIPAL,,366,370,2025-02-09,352,,278,88,318,48,278,3,142,0,0,0
Narela,3,07010400305,HOLAMBI KALAN PHASE 2 BLOCK A1 (GIRLS)-1355121,MAHIPAL,,226,226,2025-01-09,209,,213,13,226,0,213,0,41,0,0,0
Narela,2,07010400306,SANNOTH (GIRLS)-1355112,MAHIPAL,,477,483,2025-08-09,429,,421,56,456,21,421,3,152,0,0,0
Narela,2,07010400307,SANNOTH (BOYS)-1355111,MAHIPAL,,237,239,2025-06-09,211,,235,2,237,0,235,2,84,0,0,0
Narela,4,07010400308,VILLAGE SHAHPUR GARHI (CO-ED)-1355110,MAHIPAL,,664,685,2025-10-09,573,,592,72,648,16,590,14,238,0,0,0
Narela,3,07010400309,HOLAMBI KALAN METRO VIHAR PKT C (CO-ED)-1355089,MAHIPAL,,560,560,,498,,456,104,528,32,456,10,153,0,0,0
Narela,3,07010400310,HOLAMBI KALAN METRO VIHAR PKT B (CO-ED)-1355088,MAHIPAL,,370,371,,347,,285,85,350,20,285,21,121,0,0,0
Narela,4,07010400311,HOLAMBI KALAN METRO VIHAR PKT A (CO-ED)-1355087,MAHIPAL,,284,298,2025-08-09,234,,284,0,284,0,284,7,74,0,0,0
Narela,4,07010400312,HOLAMBI KALAN (CO-ED)-1355085,MAHIPAL,,738,743,2025-08-09,642,,556,182,651,87,552,17,262,0,0,0
Narela,4,07010400313,HOLAMBI KHURD (GIRLS)-1355084,MAHIPAL,,362,362,,327,,270,92,325,37,270,2,115,0,0,0
Narela,4,07010400314,HOLAMBI KHURD (BOYS)-1355083,MAHIPAL,,302,303,2025-03-09,267,,264,38,291,11,264,6,112,0,0,0
Narela,4,07010400315,NAYA BANS (CO-ED)-1355082,MAHIPAL,,69,69,,62,2025-09-09,69,0,69,0,69,1,18,0,0,0
Narela,4,07010400316,KHERA KHURD (CO-ED)-1355080,MAHIPAL,,227,236,2025-01-09,205,,176,51,194,33,176,49,102,0,0,0
Narela,4,07010400317,KHERA KALAN (GIRLS)-1355079,MAHIPAL,,306,307,2025-03-09,283,,270,36,284,22,270,11,111,0,0,0
Narela,4,07010400318,VILLAGE KHERA KALAN (BOYS)-1355078,MAHIPAL,,327,328,2025-02-09,303,,300,27,314,13,300,9,118,0,0,0
Narela,4,07010400319,BUDH PUR (CO-ED)-1355075,MAHIPAL,,511,540,2025-01-09,456,,368,143,444,67,360,7,151,0,0,0
Narela,4,07010400320,GARHI ALIPUR (CO-ED)-1355057,MAHIPAL,,914,925,,791,,657,257,799,115,657,14,237,0,0,0
Narela,4,07010400321,ALIPUR (GIRLS)-1355056,MAHIPAL,,434,434,,398,,356,78,400,34,356,6,133,0,0,0
Narela,4,07010400322,ALIPUR (BOYS)-1355055,MAHIPAL,,399,401,2025-06-09,377,,312,87,361,38,312,18,120,0,0,0
Narela,3,07010400401,NARELA SEC B4 POCKET 7 (CO-ED)-1355328,MAHIPAL,,701,714,2025-08-09,641,,556,145,663,38,556,29,319,0,0,0
Narela,4,07010400402,SWARN JAYANTI VIHAR TIKRI KHURD (CO-ED)-1355116,MAHIPAL,,460,462,2025-11-09,427,,363,97,386,74,350,79,142,0,0,0
Narela,4,07010400403,TIKRI KHURD (CO-ED)-1355115,MAHIPAL,,1020,1024,,938,,953,67,969,51,953,21,361,0,0,0
Narela,5,07010400404,SINGHU (GIRLS)-1355077,MAHIPAL,,509,548,2025-04-09,479,,432,77,466,43,410,14,211,0,0,0
Narela,5,07010400405,SINGHU (BOYS)-1355076,MAHIPAL,,460,498,2025-04-09,433,,358,102,397,63,249,6,183,0,0,0
Narela,5,07010400406,TAJ PUR KALAN (CO-ED)-1355074,MAHIPAL,,135,135,2025-01-09,135,,99,36,109,26,84,0,34,0,0,0
Narela,5,07010400408,KHAMPUR (CO-ED)-1355072,MAHIPAL,,110,115,2025-01-09,101,,69,41,95,15,60,0,32,0,0,0
Narela,5,07010400409,HAMID PUR (CO-ED)-1355071,MAHIPAL,,414,419,2025-01-09,388,,316,98,294,120,294,9,123,0,0,0
Narela,5,07010400410,BAKOLI (CO-ED)-1355070,MAHIPAL,,426,428,2025-11-09,400,,346,80,380,46,346,11,115,0,0,0
Narela,5,07010400411,PALLA (GIRLS)-1355069,MAHIPAL,,136,140,2025-01-09,122,,108,28,111,25,108,0,35,0,0,0
Narela,5,07010400412,PALLA (BOYS)-1355068,MAHIPAL,,175,177,2025-06-09,164,,155,20,164,11,130,0,46,0,0,0
Narela,5,07010400413,JHINGOLA (CO-ED)-1355067,MAHIPAL,,204,204,,188,,154,50,182,22,154,1,77,0,0,0
Narela,5,07010400414,AKBAR PUR MAJRA (CO-ED)-1355066,MAHIPAL,,153,153,2025-01-09,150,,93,60,123,30,80,5,56,0,0,0
Narela,5,07010400415,SUNGARPUR (CO-ED)-1355065,MAHIPAL,,115,116,2025-12-09,113,,92,23,73,42,52,4,35,0,0,0
Narela,5,07010400416,TIGGI PUR (CO-ED)-1355064,MAHIPAL,,141,147,,134,,107,34,101,40,101,5,45,0,0,0
Narela,5,07010400417,GARHI BAKHTAWAR PUR (CO-ED)-1355063,MAHIPAL,,146,150,2025-06-09,120,,98,48,91,55,76,6,50,0,0,0
Narela,5,07010400418,BAKHTAWAR PUR (GIRLS)-1355062,MAHIPAL,,252,256,2025-01-09,246,,191,61,225,27,188,1,76,0,0,0
Narela,5,07010400419,BAKHTAWAR PUR (BOYS)-1355061,MAHIPAL,,311,311,,287,,229,82,238,73,199,9,94,0,0,0
Narela,5,07010400420,HIRANKI KUSHAK (CO-ED)-1355060,MAHIPAL,,75,75,,72,,63,12,61,14,40,1,23,0,0,0
Narela,5,07010400421,JIND PUR (CO-ED)-1355058,MAHIPAL,,212,212,2025-01-09,211,,134,78,165,47,134,2,79,0,0,0
Civil Lines,7,07010400501,NANGLI PUNA (CO-ED)-1253016,RAVINDER PRATAP SINGH,,479,481,,442,,405,74,465,14,405,15,132,0,0,0
Civil Lines,7,07010400502,KADI PUR KUSHAK NO 2 (BOYS)-1253017,RAVINDER PRATAP SINGH,,348,352,2025-04-09,305,,263,85,318,30,263,5,128,0,0,0
Civil Lines,7,07010400503,KADI PUR KUSHAK NO 1 (GIRLS)-1253018,RAVINDER PRATAP SINGH,,556,562,2025-01-09,522,,477,79,535,21,477,20,181,0,0,0
Civil Lines,8,07010400504,JAHANGIR PURI D-Block (GIRLS)-1253032,RAVINDER PRATAP SINGH,,597,603,2025-03-09,555,,553,44,582,15,553,3,166,0,0,0
Civil Lines,8,07010400505,JAHANGIR PURI D-Block (BOYS)-1253033,RAVINDER PRATAP SINGH,,371,374,2025-01-09,344,,349,22,368,3,349,0,79,0,0,0
Civil Lines,8,07010400506,JAHANGIR PURI�E-BLOCK (GIRLS)-1253034,RAVINDER PRATAP SINGH,,710,728,,656,,449,261,663,47,449,6,219,0,0,0
Civil Lines,8,07010400508,JAHANGIR PURI EE-Block (CO-ED)-1253036,RAVINDER PRATAP SINGH,,446,448,2025-01-09,421,,326,120,327,119,313,1,121,0,0,0
Civil Lines,14,07010400510,AZAD PUR VILLAGE (GIRLS)-1253043,RAVINDER PRATAP SINGH,,552,566,2025-01-09,434,,443,109,486,66,443,0,0,0,0,0
Civil Lines,7,07010400701,MUKHMAIL PUR (CO-ED)-1253019,RAVINDER PRATAP SINGH,,77,82,2025-01-09,71,,57,20,68,9,57,0,25,0,0,0
Civil Lines,13,07010401101,MUKHERJEE NAGAR OLD (CO-ED)-1253090,RAVINDER PRATAP SINGH,,133,133,,133,,104,29,115,18,104,4,21,0,0,0
Civil Lines,13,07010401102,MUKHERJEE NAGAR NEW (CO-ED)-1253091,RAVINDER PRATAP SINGH,,243,247,,205,,176,67,213,30,176,4,64,0,0,0
Civil Lines,13,07010401103,PARMANAND COLONY (CO-ED)-1253092,RAVINDER PRATAP SINGH,,254,262,2025-01-09,206,,138,116,125,129,108,2,106,0,0,0
Civil Lines,13,07010401104,INDRA VIHAR (CO-ED)-1253094,RAVINDER PRATAP SINGH,,146,146,2025-01-09,137,,95,51,102,44,95,0,27,0,0,0
Civil Lines,13,07010401201,HAKIKAT NAGAR (CO-ED)-1253093,RAVINDER PRATAP SINGH,,180,180,,155,,117,63,124,56,95,6,76,0,0,0
Civil Lines,13,07010401202,DHAKKA (CO-ED)-1253097,RAVINDER PRATAP SINGH,,152,153,,134,,126,26,143,9,125,5,41,0,0,0
Civil Lines,13,07010401203,TAGORE PARK NEAR GURUDWARA (CO-ED)-1253099,RAVINDER PRATAP SINGH,,108,108,2025-01-09,90,,84,24,90,18,84,0,33,0,0,0
Civil Lines,13,07010401204,"MALIKPUR, Model Town (CO-ED)-1253100",RAVINDER PRATAP SINGH,,206,208,2025-12-09,174,,120,86,120,86,120,12,69,0,0,0
Civil Lines,13,07010401206,VIJAY NAGAR D/S (CO-ED)-1253103,RAVINDER PRATAP SINGH,,90,104,2025-01-09,78,,64,26,64,26,64,0,39,0,0,0
Civil Lines,13,07010401207,VIJAY NAGAR S/S (CO-ED)-1253102,RAVINDER PRATAP SINGH,,121,135,2025-01-09,91,,102,19,87,34,83,0,40,0,0,0
Civil Lines,13,07010401208,GTB NAGAR (CO-ED)-1253104,RAVINDER PRATAP SINGH,,137,137,2025-01-09,128,,136,1,125,12,111,0,32,0,0,0
Civil Lines,13,07010401209,VIJAYA NAGAR NEW (CO-ED)-1253105,RAVINDER PRATAP SINGH,,289,293,2025-09-09,249,,276,13,231,58,231,3,100,0,0,0
Civil Lines,14,07010401301,GANDHI VIHAR (CO-ED)-1253063,RAVINDER PRATAP SINGH,,196,201,2025-01-09,152,,163,33,196,0,163,2,66,0,0,0
Civil Lines,14,07010401302,DHEERPUR (CO-ED)-1253095,RAVINDER PRATAP SINGH,,330,338,,301,,236,94,290,40,234,8,90,0,0,0
Civil Lines,14,07010401304,KEWAL PARK (CO-ED)-1253117,RAVINDER PRATAP SINGH,,573,608,2025-01-09,445,,378,195,424,149,378,0,265,0,0,0
Civil Lines,14,07010401305,RAMESHWAR NAGAR (CO-ED)-1253119,RAVINDER PRATAP SINGH,,491,496,2025-08-09,465,,388,103,462,29,388,3,130,0,0,0
Civil Lines,14,07010401306,GOPAL NAGAR (CO-ED)-1253123,RAVINDER PRATAP SINGH,,214,217,2025-08-09,214,,196,18,187,27,178,4,49,0,0,0
Civil Lines,14,07010401307,MOHAN PARK (CO-ED)-1253124,RAVINDER PRATAP SINGH,,458,464,2025-01-09,436,,454,4,457,1,454,1,107,0,0,0
Civil Lines,14,07010401401,AZAD PUR VILLAGE (BOYS)-1253044,RAVINDER PRATAP SINGH,,316,330,2025-01-09,263,,281,35,303,13,281,2,112,0,0,0
Civil Lines,15,07010401402,MAJLIS PARK (CO-ED)-1253045,RAVINDER PRATAP SINGH,,261,265,2025-03-09,230,,222,39,237,24,222,1,101,0,0,0
Civil Lines,15,07010401404,ADARSH NAGAR (GIRLS)-1253047,RAVINDER PRATAP SINGH,,581,586,2025-01-09,517,,556,25,564,17,556,0,175,0,0,0
Civil Lines,15,07010401405,ADARSH NAGAR (BOYS)-1253048,RAVINDER PRATAP SINGH,,402,402,,364,,388,14,389,13,388,3,86,0,0,0
Civil Lines,15,07010401406,BHAROLA PANCHWATI (CO-ED)-1253050,RAVINDER PRATAP SINGH,,314,314,,268,,221,93,261,53,215,3,75,0,0,0
Civil Lines,15,07010401407,INDRA NAGAR (CO-ED)-1253051,RAVINDER PRATAP SINGH,,190,193,,157,,181,9,189,1,181,0,42,0,0,0
Civil Lines,15,07010401501,BHAROLA VILLAGE (GIRLS)-1253049,RAVINDER PRATAP SINGH,,403,413,2025-04-09,372,,348,55,366,37,348,12,183,0,0,0
Civil Lines,15,07010401502,SARAI PIPAL THALA (GIRLS)-1253053,RAVINDER PRATAP SINGH,,592,596,2025-03-09,521,,536,56,560,32,519,5,235,0,0,0
Civil Lines,15,07010401503,SARAI PIPAL THALA (BOYS)-1253054,RAVINDER PRATAP SINGH,,450,455,2025-02-09,426,,407,43,432,18,405,5,160,0,0,0
Civil Lines,16,07010401601,JAHANGIR PURI A-Block (BOYS)-1253056,RAVINDER PRATAP SINGH,,403,403,,402,,403,0,403,0,403,4,83,0,0,0
Civil Lines,15,07010401602,JAHANGIR PURI F& G BLOCK (CO-ED)-1253057,RAVINDER PRATAP SINGH,,590,592,,523,,558,32,509,81,509,10,85,0,0,0
Civil Lines,16,07010401604,JAHANGIR PURI H-Block (CO-ED)-1253059,RAVINDER PRATAP SINGH,,1011,1017,2025-10-09,905,,904,107,960,51,904,25,245,0,0,0
Civil Lines,16,07010401608,JAHANGIR PURI A-BLOCK (GIRLS)-1253178,RAVINDER PRATAP SINGH,,744,749,,713,,710,34,739,5,710,5,169,0,0,0
Civil Lines,20,07010401701,BADLI (CO-ED)-1253158,RAVINDER PRATAP SINGH,,970,1015,2025-01-09,812,,639,331,777,193,639,372,372,0,0,0
Civil Lines,20,07010401703,SAMAY PUR OLD (GIRLS)-1253160,RAVINDER PRATAP SINGH,,583,583,,525,,487,96,582,1,487,4,171,0,0,0
Civil Lines,20,07010401704,SAMAY PUR OLD (BOYS)-1253161,RAVINDER PRATAP SINGH,,311,327,2025-03-09,307,,255,56,282,29,255,3,136,0,0,0
Civil Lines,20,07010401705,SAMAY PUR NEW (GIRLS)-1253162,RAVINDER PRATAP SINGH,,517,517,,497,,467,50,504,13,467,7,154,0,0,0
Civil Lines,20,07010401706,SAMAY PUR NEW (BOYS)-1253163,RAVINDER PRATAP SINGH,,423,423,,369,,372,51,412,11,372,7,104,0,0,0
Civil Lines,20,07010401801,LIBAS PUR (GIRLS)-1253164,RAVINDER PRATAP SINGH,,745,761,2025-04-09,661,,656,89,712,33,654,10,221,0,0,0
Civil Lines,20,07010401802,LIBAS PUR (BOYS)-1253165,RAVINDER PRATAP SINGH,,704,708,,651,,593,111,671,33,593,19,293,0,0,0
Civil Lines,20,07010401803,SIRAS PUR (GIRLS)-1253166,RAVINDER PRATAP SINGH,,622,622,,566,,613,9,618,4,612,13,125,0,0,0
Civil Lines,20,07010401804,SIRAS PUR (BOYS)-1253167,RAVINDER PRATAP SINGH,,637,637,,519,,427,210,555,82,427,9,234,0,0,0
Civil Lines,19,07010401805,SWAROOP NAGAR (GIRLS)-1253168,RAVINDER PRATAP SINGH,,1257,1263,,1159,,1089,168,1192,65,1089,20,391,0,0,0
Civil Lines,19,07010401806,SWAROOP NAGAR (BOYS)-1253169,RAVINDER PRATAP SINGH,,890,943,2025-12-09,801,,748,142,833,57,748,13,352,0,0,0
Civil Lines,18,07010401901,JAHANGIR PURI I-Block (GIRLS)-1253004,RAVINDER PRATAP SINGH,,1042,1045,2025-12-09,936,,857,185,993,49,857,9,274,0,0,0
Civil Lines,18,07010401902,JAHANGIR PURI I-Block (BOYS)-1253005,RAVINDER PRATAP SINGH,,620,636,2025-01-09,572,,528,92,550,70,528,0,170,0,0,0
Civil Lines,18,07010401903,JAHANGIR PURI J-Block (CO-ED)-1253007,RAVINDER PRATAP SINGH,,441,463,2025-01-09,426,,433,8,427,14,427,1,136,0,0,0
Civil Lines,18,07010401905,BHALASWA DAIRY (GIRLS)-1253011,RAVINDER PRATAP SINGH,,1110,1131,2025-01-09,988,,1056,54,1077,33,1056,8,341,0,0,0
Civil Lines,18,07010401906,BHALASWA DAIRY (BOYS)-1253012,RAVINDER PRATAP SINGH,,826,843,2025-01-09,747,,687,139,723,103,687,2,265,0,0,0
Civil Lines,17,07010401907,BHALSWA VILLAGE (CO-ED)-1253013,RAVINDER PRATAP SINGH,,623,634,2025-03-09,529,,484,139,505,118,484,6,181,0,0,0
Civil Lines,19,07010401908,BHALASWA JJ NO 1 (CO-ED)-1253014,RAVINDER PRATAP SINGH,,715,715,,594,,516,199,688,27,516,27,239,0,0,0
Civil Lines,19,07010401909,BHALASWA JJ NO 2 (CO-ED)-1253015,RAVINDER PRATAP SINGH,,808,821,2025-11-09,696,,674,134,788,20,674,7,230,0,0,0
Civil Lines,17,07010402001,JAHANGIR PURI C-Block (GIRLS)-1253002,RAVINDER PRATAP SINGH,,488,491,,432,,372,116,437,51,372,21,84,0,0,0
Civil Lines,17,07010402002,JAHANGIR PURI C-Block (BOYS)-1253003,RAVINDER PRATAP SINGH,,410,410,2025-03-09,358,,385,25,387,23,385,5,98,0,0,0
Civil Lines,17,07010402003,JAHANGIR PURI B-Block (BOYS)-1253006,RAVINDER PRATAP SINGH,,278,284,,262,,278,0,278,0,278,3,55,0,0,0
Civil Lines,17,07010402004,JAHANGIR PURI K-Block (CO-ED)-1253009,RAVINDER PRATAP SINGH,,875,877,2025-03-09,799,,833,42,866,9,833,3,164,0,0,0
Civil Lines,17,07010402006,JAHANGIR PURI B-BLOCK (GIRLS)-1253180,RAVINDER PRATAP SINGH,,397,400,2025-01-09,361,,338,59,385,12,338,0,142,0,0,0
Rohini,21,07010402101,ROHINI SEC 17 (CO-ED)-1354072,RAMESH CHAND MEENA,,691,700,2025-01-09,606,,652,39,684,7,652,9,166,0,0,0
Rohini,21,07010402102,ROHINI SEC 16D-3 (CO-ED)-1354071,RAMESH CHAND MEENA,,820,822,2025-09-09,776,,797,23,813,7,797,7,208,0,0,0
Rohini,21,07010402103,ROHINI SEC 16G (CO-ED)-1354070,RAMESH CHAND MEENA,,482,487,2025-01-09,469,,464,18,481,1,464,3,101,0,0,0
Rohini,21,07010402104,ROHINI SEC 16J (CO-ED)-1354069,RAMESH CHAND MEENA,,519,538,2025-01-09,483,,491,28,517,2,491,12,135,0,0,0
Rohini,22,07010402105,ROHINI SEC 11G (CO-ED)-1354065,RAMESH CHAND MEENA,,619,631,2025-09-09,591,,604,15,615,4,604,3,138,0,0,0
Rohini,22,07010402106,ROHINI 11C (CO-ED)-1354064,RAMESH CHAND MEENA,,507,507,,436,,440,67,486,21,363,13,99,0,0,0
Narela,27,07010402201,ROHINI SEC 24 (BOYS)-1354109,MANISH TOKAS,,594,615,2025-01-09,538,,560,34,521,73,521,2,207,0,0,0
Rohini,23,07010402202,RITHALA (BOYS)-1354104,RAMESH CHAND MEENA,,427,428,2025-01-09,364,,401,26,417,10,401,3,102,0,0,0
Rohini,23,07010402203,RITHALA (GIRLS)-1354103,RAMESH CHAND MEENA,,600,612,2025-01-09,566,,515,85,589,11,515,7,204,0,0,0
Rohini,22,07010402205,ROHINI SEC 5B (CO-ED)-1354058,RAMESH CHAND MEENA,,808,808,,759,,770,38,793,15,770,6,232,0,0,0
Rohini,22,07010402206,ROHINI SEC 5A (CO-ED)-1354057,RAMESH CHAND MEENA,,986,994,2025-11-09,914,,855,131,956,30,855,6,363,0,0,0
Rohini,25,07010402301,BUDH VIHAR (BOYS)-1354106,RAMESH CHAND MEENA,,528,537,2025-03-09,486,,475,53,518,10,475,7,178,0,0,0
Rohini,25,07010402302,BUDH VIHAR (GIRLS)-1354105,RAMESH CHAND MEENA,,630,634,,589,,593,37,616,14,549,11,143,0,0,0
Narela,26,07010402502,ROHINI EXTENSION SECTOR 20 (CO-ED)-1354129,MAHIPAL,,1072,1109,2025-11-09,951,,844,228,938,134,844,104,318,0,0,0
Narela,26,07010402503,ROHINI SEC 21 (GIRLS)-1354128,MAHIPAL,,645,646,,642,,643,2,644,1,643,7,171,0,0,0
Narela,26,07010402504,NEW ROHINI SEC 20 (CO-ED)-1354115,MAHIPAL,,430,431,,413,,351,79,341,89,257,12,123,0,0,0
Narela,26,07010402505,POOTH KALAN (GIRLS)-1354114,MAHIPAL,,629,643,2025-01-09,597,,593,36,581,48,570,18,208,0,0,0
Narela,26,07010402506,POOTH KALAN (BOYS)-1354113,MAHIPAL,,830,833,2025-10-09,743,,776,54,646,184,646,19,304,0,0,0
Narela,26,07010402507,KRISHNA VIHAR (BOYS)-1354112,MAHIPAL,,229,233,2025-01-09,212,,213,16,211,18,200,4,64,0,0,0
Narela,26,07010402508,KRISHNA VIHAR (GIRLS)-1354111,MAHIPAL,,423,423,2025-10-09,415,,401,22,382,41,370,7,96,0,0,0
Narela,28,07010402509,ROHINI SEC 25 (CO-ED)-1354110,MANISH TOKAS,,629,634,2025-03-09,562,,478,151,597,32,400,11,210,0,0,0
Narela,27,07010402510,ROHINI SEC 24 (GIRLS)-1354108,MANISH TOKAS,,849,859,2025-02-09,791,,691,158,806,43,691,12,285,0,0,0
Narela,26,07010402511,ROHINI SEC 23 (GIRLS)-1354107,MAHIPAL,,586,586,,536,,501,85,532,54,501,10,169,0,0,0
Narela,26,07010402512,ROHINI SEC 23 (BOYS)-1354159,MAHIPAL,,356,362,2025-03-09,326,,284,72,313,43,221,4,136,0,0,0
Narela,26,07010402513,ROHINI SEC 21 (BOYS)-1354503,MAHIPAL,,439,446,2025-01-09,427,,424,15,429,10,424,3,126,0,0,0
Narela,26,07010402514,ROHINI SEC 22 (CO-ED)-1354504,MAHIPAL,,837,858,2025-04-09,797,,734,103,818,19,734,7,247,0,0,0
Narela,28,07010402601,SHAHBAD DAIRY B-BLOCK (BOYS)-1354408,MANISH TOKAS,,683,683,2025-12-09,625,,651,32,637,46,637,11,160,0,0,0
Narela,29,07010402602,PRAHLAD PUR BANGAR (BOYS)-1354402,MAHIPAL,,687,699,2025-09-09,625,,572,115,632,55,572,5,225,0,0,0
Narela,29,07010402603,PRAHLAD PUR BANGAR (GIRLS)-1354125,MAHIPAL,,762,765,2025-01-09,736,,620,142,731,31,620,7,235,0,0,0
Narela,29,07010402604,ROHINI SEC 26 (CO-ED)-1354124,MAHIPAL,,190,190,2025-03-09,175,,177,13,173,17,161,1,45,0,0,0
Narela,28,07010402605,SHAHBAD DAIRY B-BLOCK (GIRLS)-1354123,MANISH TOKAS,,1083,1084,,994,,874,209,1056,27,874,4,287,0,0,0
Narela,28,07010402606,NEW SHAHBAD DAIRY (CO-ED)-1354122,MANISH TOKAS,,1361,1389,2025-01-09,1277,,1206,155,1347,14,1206,5,315,0,0,0
Narela,28,07010402607,SHAHBAD DAIRY (BOYS)-1354121,MANISH TOKAS,,318,318,,283,,314,4,314,4,314,1,74,0,0,0
Narela,28,07010402608,SHAHBAD DAIRY (GIRLS)-1354120,MANISH TOKAS,,518,526,2025-01-09,474,,437,81,502,16,437,7,137,0,0,0
Narela,29,07010402609,SHAHBAD DAULATPUR (GIRLS)-1354119,MAHIPAL,,346,356,2025-01-09,312,,314,32,332,14,306,5,91,0,0,0
